safety_rank,name,state,district,latitude,longitude,population,population_density,crime_rate,safety_score
1,Gangtok,Sikkim,East District,27.34,88.61,100286,178.13,549.0,99.87
2,Dimapur,Nagaland,Dimapur,25.91,93.73,122834,1015.16,1008.0,99.76
3,Shillong,Meghalaya,East Khasi Hills,25.57,91.88,143229,2225.44,2914.0,99.31
4,Chandigarh,Chandigarh,Chandigarh,30.74,76.77,970602,8514.05,2941.0,99.3
5,Imphal,Manipur,Imphal West,24.81,93.95,193459,inf,3029.0,99.28
6,Puducherry,Puducherry,Puducherry,11.9,79.8,244377,505.96,3237.0,99.23
6,Ozhukarai,Puducherry,Puducherry,11.95,79.77,300104,inf,3237.0,99.23
8,Aizawl,Mizoram,Aizawl,23.73,92.72,293416,642.05,3587.0,99.15
9,Agartala,Tripura,West Tripura,23.83,91.28,400004,5228.54,3653.0,99.14
10,Shimla,Himachal Pradesh,Shimla,31.1,77.17,169578,4845.09,13231.0,96.87
11,Roorkee,Uttarakhand,Hardwar,29.85,77.89,118200,110.78,16967.0,95.99
11,Rudrapur,Uttarakhand,Udham Singh Nagar,28.98,79.4,154554,5724.22,16967.0,95.99
11,Dehradun,Uttarakhand,Dehradun,30.32,78.03,574840,1916.13,16967.0,95.99
11,Kashipur,Uttarakhand,Udham Singh Nagar,29.21,78.96,121623,608.12,16967.0,95.99
11,Hardwar,Uttarakhand,Hardwar,29.95,78.16,231338,256.19,16967.0,95.99
11,Haldwani,Uttarakhand,Nainital,29.22,79.51,201461,4578.66,16967.0,95.99
17,Malerkotla,Punjab,Sangrur,30.53,75.89,135424,197.99,43738.0,89.66
17,Patiala,Punjab,Patiala,30.34,76.38,446246,388.72,43738.0,89.66
17,Bathinda,Punjab,Bathinda,30.21,74.95,285788,189.01,43738.0,89.66
17,Muktsar,Punjab,Muktsar,30.7,76.72,116747,131.92,43738.0,89.66
17,Amritsar,Punjab,Amritsar,31.63,74.87,1155664,2056.34,43738.0,89.66
17,Firozpur,Punjab,Firozpur,30.92,74.61,110313,85.32,43738.0,89.66
17,Moga,Punjab,Moga,30.82,75.17,163397,132.31,43738.0,89.66
17,Khanna,Punjab,Ludhiana,30.7,76.22,128137,604.42,43738.0,89.66
17,Hoshiarpur,Punjab,Hoshiarpur,31.53,75.91,168653,150.72,43738.0,89.66
17,Jalandhar,Punjab,Jalandhar,31.33,75.58,868181,1855.09,43738.0,89.66
17,Batala,Punjab,Gurdaspur,31.82,75.21,158621,166.79,43738.0,89.66
17,Pathankot,Punjab,Gurdaspur,32.27,75.65,156306,227.52,43738.0,89.66
17,Abohar,Punjab,Firozpur,30.13,74.2,145302,120.18,43738.0,89.66
17,Ludhiana,Punjab,Ludhiana,30.9,75.86,1618879,2553.44,43738.0,89.66
17,Barnala,Punjab,Barnala,30.37,75.53,116449,129.68,43738.0,89.66
17,S.A.S. Nagar,Punjab,Sahibzada Ajit Singh Nagar,30.7,76.72,166864,892.32,43738.0,89.66
33,Deoghar,Jharkhand,Deoghar,24.48,86.7,203123,600.96,48726.0,88.48
33,Dhanbad,Jharkhand,Dhanbad,23.8,86.43,1162472,2014.68,48726.0,88.48
33,Chas (Nagar Parishad),Jharkhand,Bokaro,23.63,86.16,141640,inf,48726.0,88.48
33,Ranchi,Jharkhand,Ranchi,23.34,85.31,1073427,1646.31,48726.0,88.48
33,Hazaribag (Nagar Parishad),Jharkhand,Hazaribagh,23.98,85.35,142489,inf,48726.0,88.48
33,Adityapur (Nagar Parishad),Jharkhand,Saraikela-Kharsawan,0.0,0.0,174355,inf,48726.0,88.48
33,Bokaro Steel City,Jharkhand,Bokaro,23.67,86.15,414820,2266.78,48726.0,88.48
33,Giridih,Jharkhand,Giridih,24.18,86.3,114533,280.03,48726.0,88.48
33,Jamshedpur,Jharkhand,Purbi Singhbhum,22.81,86.2,677350,3023.88,48726.0,88.48
33,Mango,Jharkhand,Purbi Singhbhum,22.81,86.2,223805,inf,48726.0,88.48
